agent,env,episode,reward_mean,reward_std,success_rate,n_seeds
ql_arc,GridWorld,129,0.9209999999999999,0.013747727084867486,1.0,20
ql_arc,GridWorld,130,0.9,0.10583005244258362,1.0,20
ql_arc,GridWorld,131,0.8989999999999998,0.11031319050775389,1.0,20
ql_arc,GridWorld,132,0.8989999999999998,0.11085576214162257,1.0,20
ql_arc,GridWorld,133,0.9279999999999999,0.0059999999999999715,1.0,20
ql_arc,GridWorld,134,0.8959999999999999,0.10988175462741755,1.0,20
ql_arc,GridWorld,135,0.922,0.013638181696985824,1.0,20
ql_arc,GridWorld,136,0.9225,0.011779218989389712,1.0,20
ql_arc,GridWorld,137,0.9020000000000001,0.10628264204469137,1.0,20
ql_arc,GridWorld,138,0.9189999999999999,0.01135781669160051,1.0,20
ql_arc,GridWorld,139,0.868,0.14695577566057078,1.0,20
ql_arc,GridWorld,140,0.9004999999999999,0.10608840652964867,1.0,20
ql_arc,GridWorld,141,0.9,0.10597169433391164,1.0,20
ql_arc,GridWorld,142,0.8734999999999999,0.1515346495030097,1.0,20
ql_arc,GridWorld,143,0.8785000000000001,0.14636512562765763,1.0,20
ql_arc,GridWorld,144,0.924,0.01593737745050921,1.0,20
ql_arc,GridWorld,145,0.9244999999999999,0.009205976319760948,1.0,20
ql_arc,GridWorld,146,0.868,0.1599562440169186,1.0,20
ql_arc,GridWorld,147,0.9225,0.014448183276799862,1.0,20
ql_arc,GridWorld,148,0.8950000000000001,0.11412712210513327,1.0,20
ql_arc,GridWorld,149,0.8955,0.10556869801224224,1.0,20
ql_arc,GridWorld,150,0.8974999999999997,0.10549289075572818,1.0,20
ql_arc,GridWorld,151,0.8765000000000001,0.14910650555894603,1.0,20
ql_arc,GridWorld,152,0.924,0.009165151389911641,1.0,20
ql_arc,GridWorld,153,0.9219999999999999,0.011661903789690562,1.0,20
ql_arc,GridWorld,154,0.9189999999999999,0.013747727084867482,1.0,20
ql_arc,GridWorld,155,0.923,0.010049875621120849,1.0,20
ql_arc,GridWorld,156,0.9244999999999999,0.011608186766243868,1.0,20
ql_arc,GridWorld,157,0.924,0.013928388277184093,1.0,20
ql_arc,GridWorld,158,0.9225,0.010428326807307063,1.0,20
ql_arc,GridWorld,159,0.924,0.011575836902790192,1.0,20
ql_arc,GridWorld,160,0.9279999999999999,0.005099019513592752,1.0,20
ql_arc,GridWorld,161,0.9255000000000001,0.01023474474522933,1.0,20
ql_arc,GridWorld,162,0.9244999999999999,0.009205976319760948,1.0,20
ql_arc,GridWorld,163,0.8495000000000001,0.1764504179649343,1.0,20
ql_arc,GridWorld,164,0.9244999999999999,0.008046738469715499,1.0,20
ql_arc,GridWorld,165,0.9244999999999999,0.014309088021254164,1.0,20
ql_arc,GridWorld,166,0.922,0.012884098726725092,1.0,20
